127.0.0.1 - - [13/Aug/2018:09:07:59 +0800] "GET /grms/homepage/images/shouye_02.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Aug/2018:09:07:59 +0800] "GET /grms/homepage/images/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Aug/2018:09:07:59 +0800] "POST /uoms/basicSetAction!getAll.html HTTP/1.1" 404 1056
127.0.0.1 - - [13/Aug/2018:09:07:59 +0800] "GET /grms/common/images/ic_out.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Aug/2018:09:07:59 +0800] "POST /uoms/workOrderManageAction!getWorkOrderNum.html HTTP/1.1" 404 1088
127.0.0.1 - - [13/Aug/2018:09:07:59 +0800] "POST /uoms/workOrderManageAction!getWorkOrderNumAndUrge.html HTTP/1.1" 404 1102
127.0.0.1 - - [13/Aug/2018:09:07:59 +0800] "GET /grms/homepage/ HTTP/1.1" 404 1022
127.0.0.1 - - [13/Aug/2018:09:07:59 +0800] "GET /grms/homepage/images/shouye_01.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Aug/2018:09:07:59 +0800] "GET /grms/homepage/images/renyuan_01.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Aug/2018:09:07:59 +0800] "GET /grms/homepage/images/xitong_01.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Aug/2018:09:07:59 +0800] "GET /grms/common/images/nav_ic_down1.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Aug/2018:09:07:59 +0800] "POST /ums/servlet/umsLoginServlet HTTP/1.1" 200 18742
127.0.0.1 - - [13/Aug/2018:09:07:59 +0800] "POST /sso/login/loginAction HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2018:09:08:02 +0800] "GET /grms/project/list.html HTTP/1.1" 200 3154
127.0.0.1 - - [13/Aug/2018:09:08:02 +0800] "GET /grms/project/css/project.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Aug/2018:09:08:02 +0800] "GET /grms/project/js/project.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Aug/2018:09:08:02 +0800] "POST /uoms/basicSetAction!getAll.html HTTP/1.1" 404 1056
127.0.0.1 - - [13/Aug/2018:09:08:02 +0800] "POST /uoms/workOrderManageAction!getWorkOrderNum.html HTTP/1.1" 404 1088
127.0.0.1 - - [13/Aug/2018:09:08:02 +0800] "POST /uoms/workOrderManageAction!getWorkOrderNumAndUrge.html HTTP/1.1" 404 1102
